beer_name,beer_rating,brewery_location,brewery_name,review_content,reviewer_name
Ludlow Black Knight,1.3,"Ludlow, Shropshire",Ludlow Brewing Co.,"The black knight they called it. I’d heard the stories, the townsfolk warned me but destiny will determine your fate one day. It was darker than dark, I stared into my glass like the abyss it was and the abyss stared into me. Had a roast nutty finish without hints of citrus, head was minimal but present. I’ll never remember the ml but I’ll always remember how I felt that day.",heroesnever69
Meister Max,0.8,"Giza, Egypt",Al Ahram (Heineken),"first egypt beer, thx to the 'rents. smells like a bad malt liquor. this makes me think of steel reserve. really bad. really terrible flavor.",dwyerpg
Bud Light Platinum,1.3,"St. Louis, Missouri",Anheuser-Busch InBev (AB InBev),"A less sweet version of Bud Light.  Just a regular American style lager taste.  Dry, crisp, bitter, tinny.",jhsnitz1
Lone Star,1.7,"Los Angeles, California",Pabst Brewing Company,Typical American lager.  Not much different than mass market lagers.  Crisp and tinny.,jhsnitz1
Goldstar,1.9,"Netanya, Israel",Tempo Beer,first Israel beer. some caramel malt. flat . not good but at least it has a little flavor.,dwyerpg
Wichita Falls Glamorama Pale Ale,1.4,"Wichita Falls, Texas",Wichita Falls Brewing,"Draft.  Very soupy, hazy, muted yellow appearance.  Right outta the gates, this has the same off-putting, ""home-brewery,"" not-quite-right, funky, buttery essence of both beers I had at the brewpub earlier in the week.  There's supposed to be a citrus thing here, I guess, but it's buried.  (#7619, 11/2019)",Braudog
Catawba White Zombie Ale,1.7,"Morganton, North Carolina",Catawba Brewing Company,"Pours a hazy wheat with some particulate and a thin white head. It’s medium to high sweetness, with a slight bitter to tangy feel.",steelhead3686
Brawling Bear The Fight Round 2: ESB,1.7,"Gaithersburg, Maryland",Brawling Bear Brewing,"Clear dark brown.  Weird chemical aroma.  Bad.  Taste is mild caramel, flat palate.  Weird dry chemical finish.  No.  

Draft at Brew Belly in Olney, MD.",JDBaker11058
Columbus Brewing Go Kart Ghost,1.7,"Columbus, Ohio",Columbus Brewing Company,"Hahah, name on this $2 bottle makes me want to pop it and chug it. Well, here goes. One big giant chug from this 60F bottle is decent. Poured rest into a mug. A fancy mug yet it has a clear side for viewing. Some off aroma in the nose. Quite a blast. Pretty good carbonation with some ill ale effects but it never tries to be an IPA and I'm glad about that. Next to tap, a craft beer is so much better in a bottle, forget the cans mahfah. Not too bad overall beer tasting experience thank you columbus. Yes, an aye pee aye I can tolerate. Dude.",cheap
Leidenschaft in Bier Strandkorb,1.9,"Berlin, Berlin",Leidenschaft in Bier,"Danke an rauchbierlover. Getreidiger, trocken hefiger Beginn, Saison-artig, eher muffig. Herb, sehr trocken, quasi kein Hopfen. Hefig-bitterer Abgang. 8/7/6/6/8/6",Koelschtrinker
Eden River Yuzu Juice,1.4,"Penrith, Cumbria",Eden River Brew Co (prev Eden Brewery (Cumbria)),"Can. Pours a hazy golden colour with a medium white head. Aroma of lemon, pink grapefruit, some orange then washing up liquid. Taste of washing up liquid and chemicals. Light bodied and moderate carbonation. A dry, astringent, washing up liquid finish. Took one mouthful then quickly rated then. Foul! Drain pour.",Towey1989
Maccabee Shandy (Lemon Lime),1.7,"Netanya, Israel",Tempo Beer,"21/11/2019. Bottle, sample, courtesy of danlo, cheers Ed! Pours clear pale gold with a short lasting off-white head. Aroma of sweet malt, lime, lemon and a touch of ginger. Quite heavy sweetness, minimal bitterness. Light body, slight sticky texture, soft carbonation. Sweet finish.",Grumbo
Maccabee Shandy (Peach),1.9,"Netanya, Israel",Tempo Beer,"21/11/2019. Bottle, sample, courtesy of danlo, cheers Ed! Pours clear pale gold with a small fizzed off-white head. Aroma of sweet peach, not too artificial. Medium plus sweetness, minimal bitterness. Light body, slight sticky texture, average carbonation. A bit more real than the apple version.",Grumbo
Maccabee Shandy (Apple),1.5,"Netanya, Israel",Tempo Beer,"21/11/2019. Bottle, sample, courtesy of danlo, cheers Ed! Pours clear very pale gold with a short lasting white head. Aroma of grain, grass and vague sweet apple juice. Quite heavy boiled sweet sweetness, minimal bitterness. Light body, watery texture, average carbonation. Not much point to this.",Grumbo
Captain Morgan Mutineer Rum Flavoured Beer,1.9,"Frankfurt, Hesse",Binding-Brauerei (Radeberger Gruppe),"bottle @ spar (budapest) pale yellow colour, normal body, average carbonated, some sugary 'rum' taste, weird aroma, sweety, fizzy",MetalMurphy
Hop Valley Bubble Stash,1.6,"Eugene, Oregon",Hop Valley Brewing Company (Tenth and Blake - Molson Coors),"As others have stated, it’s got a weird melon taste to it. It may be your thing but I’m personally not a fan.",Beersmoke4
Potosi Lux,1.5,"Potosi, Wisconsin",Potosi Brewing Company,Can. Pours light gold with white head. Corn and cracker aroma. Light corn and cracker flavor followed by just a slight touch of bitter crispness. Finish dries out a bit but is watery. Body is light with a watery mouthfeel.,Carlisle
The Answer H.U.B.A.,1.9,"Richmond, Virginia",The Answer Brewpub,"Draft at the brewpub.  Dark brown, muddy even.  Drinks with an earthy musk, almost caramel and nutty.  M'eh.  Wouldn't go back.  (#7607, 11/2019)",Braudog
Polar,0.9,"Caracas, Venezuela",Empresas Polar,"First of all...I'm Venezuelan and I've been drinking this all my life.....this is shit, taste like piss water, I rather drink Budweiser, Coors or other American beer flavoured water. DO NOT BUY",hadesmdr
Viking Lite,1.7,"Akureyri, Iceland",Viking Ölgerd,"Color amarillo pálido, cristalina. Dos dedos de espuma con retención media. Aroma a casi nada, ligero cereal. Gusto a casi nada, un poco de cereal, notas dulces y de cartón. Cuerpo acuoso. Cerveza light, aguada, sin nada a destacar, sin gluten.",Suco
Benediktiner Weissbier Alkoholfrei,1.1,"Ettal, Bavaria",Klosterbrauerei Ettal,Der Geruch verspricht nicht viel. Und siehe da. Der Antrunk ist widerlich wässrig und billig malzig. Eines von den ganz schlechten alkoholfreien.,ichijo3
Coors Banquet Beer,1.9,"Golden, Colorado",Coors Brewing Company (Molson Coors),"Pours golden with tracing carbonation. Thin white head. Aroma of yeast and sweet malt. Taste has light floral notes, sweet malt. Palate has light bread notes, sweetness. Eh.",pdog555
Cannon 80085,1.9,"Columbus, Georgia",Cannon Brewpub,"Guava overpowers the nose.  Pale, misty, moderately sour, not sweet. Guava is too stiff all round. Light body, slightly saline maybe. Flat. On tap, Cannon Brewpub, Columbus, GA with LuckyDog.",Aurelius
Thornbridge / Sierra Nevada Twin Peaks,1.9,"Bakewell, Derbyshire",Thornbridge Brewery,"From cask at Cardinal with BHK after seeing The Lobster at Lanternen filmklubb 19.11.19. Served by gravity. Translucent straw colour. Not head or lacing. Some aroma and taste of American hops and old citrus. Harsh citrus and pine bitterness is lingering on. Very flat, even by cask standard",Holmen2
Karlsberg Bock,1.7,"Homburg, Saarland",Karlsberg Brauerei,"""Karlsberg Starkes Bock"", 6,6 %, Fläschchen von Getränke Hoffmann, Berlin. - Kastanienrot, klar. - In der Nase recht süßes dunkles Malz, leicht säuerlich-herbe Schokolade, strenge Hintergrundherbe. - Antrunk ruppig dunkelmalzig und grell süßsäuerlich-bitterschokoladig mit schroffer krautiger Herbe. Milder rezent, vollmundig, hart im Mund. Im Abgang derb malzbitter mit ranziger Herbe und Anklängen an Möbelpolitur. - Unglaublich derber, unausgereifter Bock, eine echte Zumutung für den Gaumen. Daß die Karlsberg-Brauer sich nicht schämen, etwas derart Unfertiges in Umlauf zu bringen ... (19.11.2019.)",Moravius
Ghostwood Prost!,1.6,"Redwood City, California",Ghostwood Beer Company,"On tap at the brewpub, Clear golden with small head. Notes are granny smith apple and infection. One sip and didn't touch this taster again. Awful and shouldn't have been sold",PhillyCraft
Hogs Back Gardeners Tipple (Unfiltered),1.8,"Tongham, Surrey",Hogs Back Brewery,"500ml bottle in 2012. Lightly hazy golden with a thin white head. Aroma of apples, straw and wet grass. Flavour is malty, with some fruity notes and wack of boiled sweets.",Beese
Biergarten Urig Kellerbier,1.7,"Bad Tölz / Oberbayern, Bavaria",Sudmeister GmbH,"Dunkler, leicht süß-säuerlicher Beginn, mildes Malz. Die Säure ist unpassend, das dunkle Malz wird dadurch weitestgehend verdrängt. Meh. 8/5/6/5/9/5",Koelschtrinker
Coronado Tiki Sunset Sour,1.7,"Coronado, California",Coronado Brewing Company,"Lemon yellow pour. Nose of everything under the sun, like potpourri.  There is just too much going on with this beer. Pineapple, coconut, nuts, dried fruits. Mouthfeel like a freshly melted candle. They threw in everything but the kitchen sink and it ruined it. Like trying to drink 5 tropical drinks at once. It doesn't work.
Can.",pkbites
Bud Light Lemon Tea,1.8,"St. Louis, Missouri",Anheuser-Busch InBev (AB InBev),"12 oz. Aroma is lemon, tea, chalk, soap, floral, crappy beer. Pours clear golden with a decent white head with decent retention that laces the glass even. Taste is sweet with flavors like the aroma. Pretty gross.",poisoneddwarf
Florisgaarden Honey,0.5,"Melle, Belgium",Brouwerij Huyghe,"Bottle of 33cl, in a Tumbler glass; from the fridge.

Why do I keep tasting beers of this Florisgaarden brand ? I do not know.",Syfher
Pabst Blue Ribbon,0.6,"Los Angeles, California",Pabst Brewing Company,"pale yellow colour, minimal head, which disappears quickly; aroma and taste of cardboard, metallic and sourish-acidic notes; almost horrible...",Lore
Apple Bandit Juicy Apple,1.5,"Zoeterwoude, Netherlands",Heineken Nederland,"Bottle from AH. Pale golden with some bubbles. Sweet applejuice, winegums, light sickly fruit tea with tons of sugar, fake chemical aromas, hollow, soulless bombastic sweetness. Quite sweet, light bitter. Medium body and soft carbonation. Sugary mouthfeel, pointless, alcoholic soda pop.",sjogro
Stephans Bräu Premium Pilsener,1.8,"Neckarsulm, Baden-Württemberg",Kaufland Europe,"Bottle, 500 ml. Clear golden, short lasting white head. Stinks a bit. Malty, sweetish, metallic. Light bodied, quite bland.",Iznogud
Cape May The Bog,1.0,"Cape May, New Jersey",Cape May Brewing Company,"Very pungent aroma, and very fruity to the taste. My disclaimer is I am not a big Cranberry fan, but this was overkill and partly sour",cjgaertner
Grand Canyon Sunset Amber Ale,1.3,"Williams, Arizona",Grand Canyon Brewing Company,"I have tried this beer on three different occasions and each time it immediately foams up to the point of aggravation. it is so annoying that i will not endure its fairly good flavor to suffer the indignities of this foaming menace when there are so may other beers that rise to the same flavor level and can actually be drunk within the first ten minutes of pouring it, and forget about trying to drink it straight from a bottle. That is mission impossible>",CiderMaster40
Spartan Son of Zeus,0.5,"Bermondsey, Greater London",Spartan Brewery,"Ap at brewery. Copper pour, sparse head. Malty aroma, raisins. Light sweet taste, more raisins. 3.6% mild light but full",stevoj
The Answer Fields of Glycol,1.9,"Richmond, Virginia",The Answer Brewpub,"Draft at the brewpub.  Yep, it's hazy and yellow.  Boring.  This one is particularly boring ... little aroma, no really descriptive flavors to share here ... no burn (for an ""imperial"") ... clean and without fault, but just flat. 
 Boo.  (#7604, 11/2019)",Braudog
Amstel Radler,1.1,"Zoeterwoude, Netherlands",Heineken Nederland,"Ok, that was bad. That was just a bad lemonade. At least it was refreshing.",MeadTickers36
Deschutes Only Slightly Exaggerated IPA,1.5,"Bend, Oregon",Deschutes Brewery,"Bottle from vintage. Aroma is a little off IPA. Taste, well, what do you expect? Just another rude ass APA that wants to be IPA. There are so many IPA out there, they've taken the place of the cheap american pale lager for the ubiquitous cheap american beer. There must be a brahzillion of them out there. What else can be said?",cheap
The Duck-Rabbit Brown Ale,1.2,"Farmville, North Carolina",The Duck-Rabbit Craft Brewery,"Got as a gift 6-pack. Sour, thin, over-carbonated. Has an “enjoy by” scale but nothing indicated. Committed sacrilege: after three sips I poured the rest out. Maybe I’ll use the others to cook brats.",Intladvr1
Deep Cove Molé Stout,1.0,"North Vancouver, British Columbia",Deep Cove Brewers,I'm shocked.  This is one of the worst beers I've ever tried.  It tastes like beer with a good dose of jalapeno and onion with beer.  Who thought this would be a good idea???  Mole?? I tasted no mole at all.  Keep the chips and salsa on the side boys not in my drink!,LagerTasty48
GP Brewing Mercury Premium Lager,1.9,"Grande Prairie, Alberta",GP Brewing Co.,Cloudy beer. When poured it is not 355 ml. Approx 330ml in the cans. Taste is ok .,NobleMaster56
Oettinger Pils,1.8,"Oettingen, Bavaria",Oettinger Bier Gruppe,"Gawno. Pucha wygląda dramatycznie, tandetnie, jakieś napisy w języku suahili Xd, podejrzewam, że podobnie smakują piwa w Afryce. Zapach to słodki spirol, bulion warzywny. Smak nijaki, trochę od siebie odrzucają słodkawe nuty, pewnie jakichś tanich słodów. Pils z zerową goryczką... Nie polecam, shieeet.",aboubakar
Gekkeikan (Laurel Crown) Traditional Sake,1.8,"Folsom, California",Gekkeikan Sake (USA),"750ml bottle, I see it is a product of the US. Folsom California to be more exact. 

Pours a colour of water with a bit of fizz that imitates a head of foam. It's gone in a blink of the eye. 

Smells interesting. Dark pitted fruits, chocolate???,  licorice, earthy, boozy. 

The taste is a letdown. Everything in the smell is muted except the booze. Very little dark pitted fruits...licorice, no chocolate...bland as bland can get. 

Mouthfeel is thinner than thin. 

I'm having no luck with Sakes. This may be my last.",Bitterbill
New Holland Dragon's Milk - White,1.5,"Holland, Michigan",New Holland Brewing Company,"Can from Total Wine in Sunnyvale, CA. Aroma is vanilla, artificial syrup, light malts. Taste is cream ale, vanilla, more artificial. Def not a stout...more of a cream ale which I strongly dislike.",tightslice
Perlenbacher Mount Eagle,1.7,"Neckarsulm, Baden-Württemberg",Lidl Europe,"# 1623; 11/2019. Worty and floral aroma. Straw colored, clear, with poor head. Light bodied, worty, herbal, crispy, corny. Above average beer. 0,5 l can, market, Třemošná (CZ).",kolemkoukolem
Flötzinger Bräu Wies'n-Radler,1.9,"Rosenheim, Bavaria",Privatbrauerei Franz Steegmüller,"Zurecht hat dieses Radler nur 4 Punkte, is ne unverschämte Süßstoff Bombe, richtig unangenehm, weder ein schöner Limo noch ein Bier Geschmack zu erkennen",MBlessing
Camden Town Arch 55 Plum Sour,0.8,"Ponders End, Greater London",Camden Town Brewery (AB InBev),"Sour session lager med blommer

Det hænger ikke sammen, de lidt umami lager malte og de overmoden blommer hænger ikke sammen. 
Mangler noget vildt gær, og det syrlige spark kommer kun ved 1. Dyk i glasset. Til sidst smager den faktisk af bræk, syren kommet simpelthen frem på den helt forkerte måde. Den er livlig i kroppen, og hælder gullig væske.",Kronhjort1996
Marston's Pedigree (Filtered),1.7,"Burton-on-Trent, Staffordshire",Marston's,"Nothing but cabbage and tin on the nose, has weak foam on a  medium clear copper body. Flavour is boozy tin and caramel. Lingering adjuncts on the mouth. This is pretty substandard, even for a macro amber.",DeanF
Greene King IPA (Filtered),1.9,"Bury St. Edmunds, Suffolk",Greene King,"Clear amber beer with cream-colored head, smell is light apple, taste is light bitter and bread, light watery, light body, thin texture, average carbonation, perfect for hot days, otherwise boring, 
(I have 0.5l bottle with best-before 03 2020 and batch T1 19065 08:36)",PintjeFritz
Spießbraten Bier Naturtrübes Kellerbier,1.9,"Bad Tölz / Oberbayern, Bavaria",Sudmeister GmbH,"Dumpf malziger Beginn. Milde Süße, flacher Körper. Süßer Abgang. 8/6/7/6//6",Koelschtrinker
Northern Monk Patrons Project 14.05 King - Grapefruit Soda IPA,1.4,"Leeds, West Yorkshire",Northern Monk Brew Co.,"440ml can at We Brought Beer, Tooting.  Murky golden.  Aroma of sweets, grapefruit, and weird soft drink.  A rare miss for NM.  Overly sweet and saccharine.  I’m not sure what they were going for.",Beese
North High Grapefruit Walleye,1.5,"Columbus, Ohio",North High Brewing,"$2 orange can as pictured. First thought? Who wants that terribly bitter feel without big ABV? Taste is big bitter rubber veggie cabbage. Some decent co2 if you search for it. Yea, there you have; another rude ass on style bitter IPA, must be a gahzillion out there and they all taste the same; nasty. Continuing session, radel radly runs right over the roughnecks. Terribly on style for a light IPA, almost APA.",cheap
Yubberton Goldie,1.6,"Chipping Campden, Gloucestershire",Yubberton Brewing,"Bottled.  Clear pale golden, minimal head. Aroma of honey and butter. Sweet with light to medium body and clean mouthfeel. Metal, honey and boiled cabbage. Low bitterness.",omhper
Cotswold Haus Lager,1.9,"Bourton-on-the-Water , Gloucestershire",Cotswold Brewing Co.,"Bottled.  Clear pale golden, small coarse head. Aroma of honey and grass. Mid sweet with light-medium body and clean, hard mouthfeel. Honey, boiled cabbage and grass. Mid bitter finish. Typical Btitish lager.",omhper
Michelob Ultra,1.3,"St. Louis, Missouri",Anheuser-Busch InBev (AB InBev),"Aroma: muy poco.. nada especial 
Apariencia: dorada, clara, espuma blanca, corona desaparece rápido 
Sabor: un poco a malta, maíz, 
Sensación: Poco amarga, delgada,",ZxWx
Flensburger Radler Alkoholfrei,1.3,"Flensburg, Schleswig-Holstein",Flensburger Brauerei,"33cl bottle. Smooth mild beginning with a light lemonade flavour. The main part is dominated by the artificial sweeteners. Strange bitter, together with a fruity but dry bitter aftertaste. The beer is grainy bitter, artificial sweeteners together with bitter lemon in the end. Very strange.",Erzengel
Yubberton Yawnie,1.4,"Chipping Campden, Gloucestershire",Yubberton Brewing,"Bottled.  Clear pale amber, small head. Aroma of butterscotch and caramel. Sweet with light body and clean mouthfeel. Estery and caramelly with winegums, pears, toffee and butterscotch. Low bitterness. Sticky, artificial and unpleasant.",omhper
Yubberton Yawnie,1.9,"Chipping Campden, Gloucestershire",Yubberton Brewing,"Bottle shared by Björn thanks. Big and long lastning beige head. Clear dark amber color. Bad, cheesy aroma.sweet caramell malt taste with lingering sweetness. Low bitterness.",TEJA
Maccabee Shandy (Lemon Lime),1.6,"Netanya, Israel",Tempo Beer,"330ml bottle. Pale golden colour, thin white foam head and aroma of malt, lemon-lime. Taste is sweet, malt, grain, sugary, lemon-lime flavouring, with some wet-cardboardy bitterness. Thin syrupy mouthfeel, medium bodied, spritzy carbonation, dry papery finish. Very bland and soda-like",danlo
Maccabee Shandy (Peach),1.4,"Netanya, Israel",Tempo Beer,"330ml bottle. Pale pinkish gold colour, thin white foam head leaving alittle lacing and aroma of malt, ripe peach. Taste is sweet, malt, grains, sugary, peach flavouring, some coconut notes and papery bitterness. Thin syrupy mouthfeel, medium bodied, spritzy carbonation, dry papery finish. Very sweet flavoured.",danlo
Maccabee Shandy (Apple),1.7,"Netanya, Israel",Tempo Beer,"330ml bottle. Pale golden colour, white foam head that dissipates away and aroma of malt, green apple. Taste is malty, grains, straw, sweet juicy apple flavouring, with some cardboardy bitterness. Thin mouthfeel, medium bodied, spritzy carbonation, dry papery finish. Very bland, with just a short burst of the apple flavouring.",danlo
Aldi Brasserie 1897,1.5,"Atherstone, Warwickshire",Aldi (UK),It’s like cheap Stella. Not a fan but can be drunk on a budget like a student,jordycroft
Hop Rider Session IPA,1.9,"Mannheim, Baden-Württemberg",Privatbrauerei Eichbaum Mannheim,"Cloudy, pale yellow color, medium white head. 
Fresh fruity, citrusy aroma with traces of malts. 
Very light taste of malts, some resinous hops. Light body, medium carbonation. Easy drinking, a bit too expensive for what it offers.",Maltmonster
Wieninger Winter Festbier,1.7,"Teisendorf, Bavaria",Privatbrauerei MC Wieninger,"A small taste @ the flagship Alko, press blind tasting. Pours pale golden with a medium head. Aroma is stale malts. Flavor is stale, slightly sour malts with some hops. Bad.",Kavu
Berg Cyriakus,1.8,"Ehingen, Baden-Württemberg",Berg Brauerei Ulrich Zimmermann Ehingen,"The beer has got a  clear golden color with a small head and thin body.  Aroma of hops and citrus. Taste of hops,  citrus, bread. Metallic hints.",McTapps
Kaltenecker Limetkové Weizen12°,1.7,"Rožňava, Slovakia",Pivovar Kaltenecker,"Bottled. Cloudy yellow colour, medium persisten twhite head. Perfumy citrussy nose with some yeasty and bready tone. Taste of a bit sour wheatbeer and a lot of unpleasant artificial lemon with some spice. Medium body, chewy texture, sharp carbonation, sweet and fruity finish. I dont like it.",pityu
Kaltenecker Kras 11°,1.5,"Rožňava, Slovakia",Pivovar Kaltenecker,"Bottled. Clear golden colour, small white head. Malty nose with some metallic note. Taste of malt, sourdough, light hoppy bitterness. Light body, average carbonation, watery mouthfeel, dry finish. Empty.",pityu
Kaltenecker Ginger Symphony 12°,1.6,"Rožňava, Slovakia",Pivovar Kaltenecker,"Bottled. Cloudy yellow colour, small and melting white head. Harsh ginger aroma with some yeasty note. Harsh and unpleasant ginger taste. Light body, overcarbonated, yeasty sidetaste, empty mouthfeel. Not good.",pityu
Kaltenecker Chilli Pivo,1.0,"Rožňava, Slovakia",Pivovar Kaltenecker,"On tap @ Főzdefeszt. Dark amber colour with small and disappearing bubbly off-white head. Malty nose with some vegetables. Taste of an average mass produced lager with unpleasant heat. No chilli or paprika taste, just the heat in the throat. Crap.",pityu
Kaltenecker Brokát Märzen 13°,1.9,"Rožňava, Slovakia",Pivovar Kaltenecker,"Bottled. Clear amber colour with medium sized off-white head, fair retention. Shy aromas with some hay and caramel. Taste of sourdough, honey and some fruity hops. Light body, thin mouthfeel, dry and a bit empty finish. Good thirst quencher, but nothing special.",pityu
Greene King IPA (Cask),1.7,"Bury St. Edmunds, Suffolk",Greene King,"Cask at The Oddfellows, Watford in 2011. Clear copper with a white head. This was never a good beer, even in the days when people didn’t widely know (and if we go back long enough, that would even include myself) that this definitely ain’t no IPA of any variety. Aroma of malty, with a hint of floral hops and a plastic note. Pretty bland. Not totally undrinkable, but likewise not worth drinking either.",Beese
Portland Peach Berry,1.9,"Clackamas, Oregon",Portland Cider Company,"""Bold, juicy Oregon peaches play with a blend of tart Northwest-grown berries for a cider full of sunshine to drink on those grey Portland days. Lively raspberries & blackberries burst onto your tongue, just like plucking the fruit from your own backyard. 5.2% ABV"".",bpreo
La Familia Cider Jamaica,1.7,"Salem, Oregon",La Familia Cider,"Too sweet.

""The Hibiscus Flower tartness compliments our freshly pressed apples sweetness to create a cider similar in taste with a fine wine. Blended in the spirit of a traditional Mexican Aguas Frescas. 6.9% ABV"".",bpreo
Front Row Crafty Flanker,1.6,"Brindley Ford, Staffordshire",Front Row Brewing,"Cask at Royal Oak. Half-pint shared with Finn. Dotted spots on the glass from a small sized white head. Clear warm golden body. Very restrained smell of perfumed fruit. Mid sweet canned fruity flavours, perfumed impression. Mid-dry ending with yeast. A strange one.We did not empty the glass.  (Bath 27.10.2019).",Rune
Mothership Hypergalactic,1.0,"Nunhead, Greater London",Mothership Beer,"* Can 6.4% IPA
* Appearance is cloudy honey colour with a white disapatting head. 
* Aroma is toffee, pine and skunked hops.
* Palate is heavy body, oily, medium carbonation, with very fine bubbles. 
* Taste is caramel, lemon, and a resin finish.
* Finish is resin and drying. 
* Overall skunked hops, not very nice 1/5.",MrJamesMcEwan
Surly Furious,1.8,"Minneapolis, Minnesota",Surly Brewing Company,Sampled in a blind taste-test on 11/11/2019.  Pours a honey color with a sparse head and average lacing.  Very hoppy.  Bitter.  Sour.  Spew.,o_Merlin_o
Grain Belt Premium,1.1,"New Ulm, Minnesota",August Schell Brewing Company,Sampled in a blind taste-test on 11/10/2019.  Pours extremely light - like yellow colored water.  Very aqueous.  Zero head.  Wet leather aroma.,o_Merlin_o
Sierra Nevada Sierraveza,1.2,"Chico, California",Sierra Nevada Brewing Company,"Tasted in a blind taste-test on 11/9/2019. Zero aroma - literally nothing. Looks like yellow colored water, it's so faint.  Velvety head, with zero lacing.  Spew.",o_Merlin_o
Odd Side Ales Citra Radler,1.7,"Grand Haven, Michigan",Odd Side Ales,"$2 can is only 3.8% ABV, hahahah. Slight haze on pale. Oh, way too much cloying sugar, totally hides the tart radler effects. Difficult. Rudish brutish brawtverst. Not easy to get along with. Was nervous about this and now I see why. Coats the sides of yer mouth. Whew. I never thought a radler should taste like this but what-ever. So there you have it and here it is.",cheap
Dixie Beer,1.6,"New Orleans, Louisiana",Dixie Brewing Co.,"Thin pale lager which offers a light head when poured. Taste is very sweet malt, maize, with a strong chemical aftertaste. Thoroughly unpleasant, so could not even finish bottle as an after work thirst quencher.",BrewTasty63
Bath Brewhouse Blood Beer,1.8,"Bath, Somerset",Bath Brewhouse,"Cask, third, beer flight at the brewhouse. Shared with Finn. Stable pinkish head, hazy dark red body, fair lacing. Modest taste of dry, sweet berries. Sweet cherries to the taste buds. Ends like that. Soft drink impression. Drinkable. (Bath 27.10.2019).",Rune
Ruhrtaler Amber Lager,1.9,"Witten-Heven, North Rhine-Westphalia",Ruhrtal Brauerei,"Trocken malziger, leicht herber Beginn. Anfängliche Säure, die starke Trockenheit stört. Wenig aromatisch, röstige Nuancen, kurzer bitterer Abgang. Nicht unbedingt der Knaller. 9/6/6/6/8/6",Koelschtrinker
O'Douls,1.9,"St. Louis, Missouri",Anheuser-Busch InBev (AB InBev),"12 oz. can, brought to a work potluck by some enterprising soul! The nose is damp cardboard, some cereals, and sawdust. Sweet and sugary, with a weak, off bitterness. Light body, with a crisp, sticky palate. Thin and uninspired, with only hints of stale hops to differentiate it from water. What little character it has is unpleasant.",GTAEgeek
Camden Town Arch 55 Plum Sour,1.8,"Ponders End, Greater London",Camden Town Brewery (AB InBev),"Frothy off white head soon left slowly carbonating reddish pink body.
No aroma.
Medium to thin bodied, highly carbonated with a clean gassy finish.
Bitter under ripe plum, sour fruit & confectionery tastes.",simontomlinson
Skol Lager (UK),1.4,"Northampton, Northamptonshire",Carlsberg UK,"Can from convenience store. I've read the reviews and was expecting something horrible. Not awful, just not anything. Bland, weak, beer flavored water. Pale yellow, weak foamy head. aroma is corn, grain, adjuncts. taste  is sweet and weak and disappears into nothing. Faint aftertaste of paste and wet paper. Did I just drink a beer? Hard to tell....",stevoj
Marston's Resolution / Low C,1.8,"Burton-on-Trent, Staffordshire",Marston's,"Bottle, from historic notes. Source not recorded. Poured golden amber with a small white head. Aroma of rotting fruit and veg. Watery texture. Just wasn't very nice.",Grumbo
Pedavena Birra Dolomiti Pils 4.9,0.5,"Pedavena (BL), Italy",Fabbrica di Birra di Pedavena (Castello di Udine),"Wygląd: Jasne złoto, przejrzyste bez piany.

Aromat: Słodowy, mineralny, trochę mokry karton.

Smak: Też słodowy i kukurydziany (kukurydza w składzie ? skąd?) lekko wytrawne, goryczka nawet jest jakaś tam.

Ogólnie: Nudy na pudy, smakuje jak wszystkie lagery.",meridian
Dogfish Head 75 Minute IPA (Cask/Bottle),1.5,"Milton, Delaware",Dogfish Head Brewery (Boston Beer Co.),Definitely an IPA. Total hop bomb. Not at all like Dogfish 60 and Dogfish 90,malts-a-meal
Blue Moon Belgian White,1.4,"Denver, Colorado",Blue Moon Brewing Company (Molson Coors),"tastes like a belgian white was diluted 50/50 with a coors. sweet smelling cheap corn and wheat with old orange peels or orange flavoring maybe faint spice. flavor is the same - sweet brew of cheap corn and wheat with weird orange flavor - not getting nice yeasty funk, savory wheat or peppery spice or anything youd expect from a good white ale. cloying orange flavor and stale grain aftertaste - bottom of the list for this style...will avoid...",beerbomb
Vibrant Forest Stone Sap - Juicy India Pale Ale,1.9,"Hardley, Hampshire",Vibrant Forest Brewery,"Mętne z dużą ilością goryczki, która przerasta/zabija smaki i aromaty owocowe. Zapach ciekawy z nutami owoców tropikalnych.",torrc
Leelanau Petoskey Pale Ale,1.6,"Lake Leelanau, Michigan",Leelanau Brewing Company,"Surprised I haven’t rated this. This was a 2016 bottle shared by pat. Brown color with medium to full head. Notes are plastic, dentist office, latex, and other infection. Foodery should be ashamed they sold this to my friend",PhillyCraft
Arkells Malthouse Craft Lager,1.9,"Swindon, Wiltshire",Arkell's Brewery,"Keg, third at Swindon's 33rd Annual Beer Festival. Shared with Finn. Pearl white head, clear golden body, dotted spots on the glass. Vague smell of pale malts, dry. Perfumed pale malty taste, hints of cardboard to the ending. About drinkable.  (26.10.2019).",Rune
Argo Lager Beer,0.8,"Tbilisi, Georgia",Castel-Sakartvelo (BGI),"Awful beer, tastes metallic. I dare not speculate what they add to get such a bitter taste. couldn't drink more than a little. Doesn't complement anything as far as I am concerned.",HopsMonger156
Schulten Bräu Export,1.9,", North Rhine-Westphalia",Aldi Europe (Nord / Süd / Hofer),"en god øl
mørk i farven
skummet fint
dufter af karamel
smagen let bitter
en udmærket øl",PLundsgaard
